iter	Passed	Remaining
0	150	150157
1	151	75803
2	153	51039
3	155	38675
4	156	31232
5	158	26271
6	160	22700
7	161	20025
8	163	17950
9	164	16283
10	165	14923
11	167	13791
12	168	12823
13	170	11997
14	171	11283
15	173	10652
16	174	10095
17	175	9596
18	177	9160
19	178	8762
20	180	8401
21	181	8070
22	182	7769
23	184	7489
24	185	7230
25	186	6992
26	187	6770
27	189	6567
28	190	6375
29	191	6195
30	192	6025
31	193	5866
32	195	5715
33	196	5571
34	196	5431
35	197	5299
36	198	5174
37	199	5056
38	200	4943
39	201	4837
40	202	4736
41	203	4638
42	204	4545
43	205	4457
44	206	4371
45	206	4290
46	207	4210
47	208	4133
48	209	4059
49	209	3986
50	210	3915
51	211	3848
52	211	3783
53	212	3720
54	213	3660
55	213	3601
56	214	3544
57	214	3488
58	215	3435
59	215	3383
60	216	3333
61	217	3284
62	217	3237
63	218	3191
64	218	3147
65	219	3104
66	219	3063
67	220	3022
68	221	2982
69	221	2943
70	222	2906
71	222	2869
72	223	2834
73	223	2799
74	224	2765
75	224	2733
76	225	2701
77	225	2669
78	226	2639
79	226	2610
80	227	2581
81	228	2553
82	228	2523
83	228	2496
84	229	2470
85	230	2445
86	230	2420
87	231	2396
88	231	2372
89	232	2348
90	232	2326
91	233	2304
92	234	2282
93	234	2261
94	235	2240
95	235	2219
96	236	2199
97	236	2179
98	237	2160
99	237	2141
100	238	2122
101	238	2104
102	239	2086
103	240	2068
104	240	2051
105	241	2034
106	241	2017
107	242	2001
108	242	1985
109	243	1969
110	243	1954
111	244	1938
112	245	1923
113	245	1909
114	246	1894
115	246	1880
116	247	1866
117	247	1853
118	248	1840
119	249	1827
120	249	1815
121	250	1801
122	250	1788
123	251	1776
124	251	1763
125	252	1751
126	252	1738
127	253	1727
128	254	1715
129	254	1703
130	255	1692
131	255	1681
132	256	1670
133	256	1659
134	257	1648
135	257	1638
136	258	1628
137	259	1617
138	259	1607
139	260	1597
140	260	1588
141	261	1577
142	261	1568
143	262	1558
144	262	1549
145	263	1540
146	263	1531
147	264	1522
148	265	1513
149	265	1504
150	266	1496
151	266	1487
152	267	1479
153	267	1471
154	268	1462
155	268	1454
156	269	1446
157	269	1438
158	270	1431
159	271	1423
160	271	1414
161	272	1407
162	272	1399
163	273	1392
164	273	1384
165	274	1377
166	274	1370
167	275	1363
168	275	1356
169	276	1349
170	277	1343
171	277	1336
172	278	1329
173	278	1323
174	279	1316
175	279	1310
176	280	1303
177	280	1297
178	281	1291
179	282	1285
180	282	1278
181	283	1272
182	283	1266
183	284	1260
184	284	1254
185	285	1248
186	285	1243
187	286	1237
188	286	1231
189	287	1225
190	288	1220
191	288	1214
192	289	1209
193	289	1203
194	290	1198
195	291	1194
196	291	1189
197	292	1184
198	293	1179
199	293	1174
200	294	1169
201	294	1163
202	295	1158
203	295	1153
204	296	1148
205	296	1143
206	297	1139
207	297	1134
208	298	1129
209	299	1124
210	299	1120
211	300	1115
212	300	1111
213	301	1106
214	301	1101
215	302	1097
216	302	1092
217	303	1088
218	303	1083
219	304	1080
220	305	1076
221	305	1072
222	306	1068
223	307	1064
224	307	1059
225	308	1055
226	308	1051
227	309	1047
228	309	1043
229	310	1039
230	311	1035
231	311	1031
232	312	1027
233	312	1023
234	313	1019
235	313	1016
236	314	1012
237	314	1008
238	315	1004
239	316	1000
240	316	996
241	317	993
242	317	989
243	318	985
244	318	982
245	319	978
246	319	975
247	320	971
248	320	967
249	321	964
250	321	960
251	322	957
252	323	953
253	323	950
254	324	947
255	324	943
256	325	940
257	325	936
258	326	933
259	326	930
260	327	927
261	328	923
262	328	920
263	329	917
264	329	914
265	330	911
266	330	908
267	331	904
268	331	901
269	332	898
270	334	899
271	335	896
272	335	893
273	336	890
274	336	887
275	337	884
276	337	881
277	338	878
278	338	875
279	339	873
280	340	870
281	340	867
282	341	864
283	341	861
284	342	858
285	342	855
286	343	852
287	343	850
288	344	847
289	345	844
290	345	841
291	346	839
292	346	836
293	347	833
294	347	831
295	348	828
296	348	825
297	349	823
298	350	820
299	350	817
300	351	815
301	351	812
302	352	810
303	352	807
304	353	805
305	353	802
306	354	799
307	354	797
308	355	794
309	356	792
310	356	790
311	357	787
312	357	785
313	358	782
314	358	780
315	359	777
316	359	775
317	360	773
318	360	770
319	361	768
320	362	765
321	362	763
322	363	761
323	363	759
324	364	756
325	364	754
326	365	752
327	365	749
328	366	747
329	367	745
330	367	743
331	368	740
332	368	738
333	369	736
334	369	734
335	370	731
336	370	729
337	371	727
338	372	725
339	372	723
340	373	721
341	373	718
342	374	716
343	374	714
344	375	712
345	375	710
346	376	708
347	376	706
348	377	704
349	378	703
350	379	701
351	379	699
352	380	697
353	381	695
354	381	693
355	382	691
356	383	689
357	383	688
358	384	686
359	384	684
360	385	682
361	385	680
362	386	678
363	386	676
364	387	674
365	388	672
366	388	670
367	389	668
368	389	666
369	390	664
370	390	662
371	391	661
372	392	659
373	392	657
374	393	655
375	394	654
376	394	652
377	395	650
378	395	648
379	396	646
380	396	644
381	397	642
382	397	640
383	398	639
384	398	637
385	399	635
386	400	633
387	400	631
388	401	630
389	401	628
390	402	626
391	402	624
392	403	623
393	403	621
394	404	619
395	405	618
396	405	616
397	406	614
398	407	613
399	407	611
400	408	609
401	408	608
402	409	606
403	409	604
404	410	602
405	410	601
406	411	599
407	411	597
408	412	596
409	413	594
410	413	592
411	414	591
412	414	589
413	415	587
414	415	586
415	416	584
416	416	582
417	417	581
418	418	579
419	418	578
420	419	576
421	419	574
422	420	573
423	420	571
424	421	570
425	422	568
426	422	567
427	423	565
428	423	563
429	424	562
430	424	560
431	425	559
432	425	557
433	426	556
434	426	554
435	427	553
436	428	551
437	428	549
438	429	548
439	429	546
440	430	545
441	430	543
442	431	542
443	431	540
444	432	539
445	433	537
446	433	536
447	434	534
448	434	533
449	435	532
450	435	530
451	436	529
452	436	527
453	437	526
454	438	524
455	438	523
456	439	521
457	439	520
458	440	518
459	440	517
460	441	516
461	441	514
462	442	513
463	442	511
464	443	510
465	444	508
466	444	507
467	445	506
468	445	504
469	446	503
470	446	501
471	447	500
472	448	499
473	448	497
474	449	496
475	449	495
476	450	493
477	450	492
478	451	490
479	451	489
480	452	488
481	453	486
482	453	485
483	454	484
484	454	482
485	455	481
486	455	480
487	456	478
488	456	477
489	457	476
490	457	474
491	458	473
492	459	472
493	459	470
494	460	469
495	460	468
496	461	466
497	461	465
498	462	464
499	462	462
500	463	461
501	463	460
502	464	458
503	465	457
504	465	456
505	466	455
506	466	453
507	467	452
508	467	451
509	468	449
510	468	448
511	469	447
512	469	446
513	470	444
514	471	443
515	471	442
516	472	441
517	472	439
518	473	438
519	473	437
520	474	436
521	474	434
522	475	433
523	475	432
524	476	431
525	477	429
526	477	428
527	478	427
528	478	426
529	479	425
530	479	423
531	480	422
532	481	421
533	481	420
534	482	419
535	482	417
536	483	416
537	483	415
538	484	414
539	484	412
540	485	411
541	485	410
542	486	409
543	487	408
544	487	407
545	488	405
546	488	404
547	489	403
548	489	402
549	490	401
550	490	400
551	491	398
552	492	397
553	492	396
554	493	395
555	493	394
556	494	393
557	495	392
558	495	390
559	496	389
560	496	388
561	497	387
562	497	386
563	498	385
564	498	384
565	499	382
566	499	381
567	500	380
568	500	379
569	501	378
570	502	377
571	502	376
572	503	374
573	503	373
574	504	372
575	504	371
576	505	370
577	506	369
578	506	368
579	507	367
580	507	366
581	508	365
582	509	364
583	509	362
584	510	361
585	510	360
586	511	359
587	511	358
588	512	357
589	512	356
590	513	355
591	513	354
592	514	353
593	515	352
594	515	350
595	516	349
596	516	348
597	517	347
598	517	346
599	518	345
600	519	344
601	519	343
602	520	342
603	520	341
604	521	340
605	521	339
606	522	338
607	522	337
608	523	336
609	524	335
610	524	334
611	525	332
612	525	331
613	526	330
614	526	329
615	527	328
616	527	327
617	528	326
618	529	325
619	529	324
620	530	323
621	530	322
622	531	321
623	531	320
624	532	319
625	532	318
626	533	317
627	534	316
628	534	315
629	535	314
630	535	313
631	536	312
632	536	311
633	537	310
634	538	309
635	538	308
636	539	307
637	539	306
638	540	305
639	540	304
640	541	303
641	541	302
642	542	301
643	542	300
644	543	299
645	544	298
646	544	297
647	545	296
648	545	295
649	546	294
650	546	293
651	547	292
652	547	291
653	548	290
654	549	289
655	549	288
656	550	287
657	550	286
658	551	285
659	551	284
660	552	283
661	552	282
662	553	281
663	553	280
664	554	279
665	555	278
666	555	277
667	556	276
668	556	275
669	557	274
670	557	273
671	558	272
672	558	271
673	559	270
674	559	269
675	560	268
676	561	267
677	561	266
678	562	265
679	562	264
680	563	263
681	563	262
682	564	261
683	565	261
684	565	260
685	566	259
686	566	258
687	567	257
688	567	256
689	568	255
690	568	254
691	569	253
692	570	252
693	570	251
694	571	250
695	571	249
696	572	248
697	572	247
698	573	246
699	573	245
700	574	244
701	574	244
702	575	243
703	575	242
704	576	241
705	577	240
706	577	239
707	578	238
708	578	237
709	579	236
710	579	235
711	580	234
712	580	233
713	581	232
714	582	231
715	582	231
716	583	230
717	583	229
718	584	228
719	584	227
720	585	226
721	585	225
722	586	224
723	586	223
724	587	222
725	588	221
726	588	221
727	589	220
728	589	219
729	590	218
730	590	217
731	591	216
732	592	215
733	592	214
734	593	213
735	593	212
736	594	212
737	594	211
738	595	210
739	595	209
740	596	208
741	597	207
742	597	206
743	598	205
744	598	204
745	599	204
746	599	203
747	600	202
748	600	201
749	601	200
750	602	199
751	602	198
752	603	197
753	603	196
754	604	196
755	604	195
756	605	194
757	605	193
758	606	192
759	607	191
760	607	190
761	608	189
762	608	189
763	609	188
764	609	187
765	610	186
766	610	185
767	611	184
768	611	183
769	612	182
770	613	182
771	613	181
772	614	180
773	614	179
774	615	178
775	615	177
776	616	176
777	616	176
778	617	175
779	617	174
780	618	173
781	619	172
782	619	171
783	620	170
784	620	170
785	621	169
786	621	168
787	622	167
788	623	166
789	623	165
790	624	164
791	624	164
792	625	163
793	625	162
794	626	161
795	626	160
796	627	159
797	628	158
798	628	158
799	629	157
800	629	156
801	630	155
802	630	154
803	631	153
804	631	153
805	632	152
806	632	151
807	633	150
808	634	149
809	634	148
810	635	148
811	635	147
812	636	146
813	636	145
814	637	144
815	637	143
816	638	143
817	638	142
818	639	141
819	640	140
820	640	139
821	641	138
822	641	138
823	642	137
824	642	136
825	643	135
826	643	134
827	644	133
828	645	133
829	645	132
830	646	131
831	646	130
832	647	129
833	647	128
834	648	128
835	648	127
836	649	126
837	650	125
838	650	124
839	651	124
840	651	123
841	652	122
842	652	121
843	653	120
844	653	119
845	654	119
846	655	118
847	655	117
848	656	116
849	656	115
850	657	115
851	657	114
852	658	113
853	658	112
854	659	111
855	659	111
856	660	110
857	661	109
858	661	108
859	662	107
860	662	106
861	663	106
862	663	105
863	664	104
864	664	103
865	665	102
866	665	102
867	666	101
868	667	100
869	667	99
870	668	98
871	668	98
872	669	97
873	669	96
874	670	95
875	670	94
876	671	94
877	672	93
878	672	92
879	673	91
880	673	90
881	674	90
882	674	89
883	675	88
884	675	87
885	676	87
886	677	86
887	677	85
888	678	84
889	678	83
890	679	83
891	680	82
892	680	81
893	681	80
894	681	79
895	682	79
896	682	78
897	683	77
898	683	76
899	684	76
900	684	75
901	685	74
902	686	73
903	686	72
904	687	72
905	687	71
906	688	70
907	688	69
908	689	69
909	689	68
910	690	67
911	691	66
912	691	65
913	692	65
914	692	64
915	693	63
916	694	62
917	694	62
918	695	61
919	695	60
920	696	59
921	696	58
922	697	58
923	697	57
924	698	56
925	698	55
926	699	55
927	700	54
928	700	53
929	701	52
930	701	52
931	702	51
932	702	50
933	703	49
934	704	48
935	704	48
936	705	47
937	705	46
938	706	45
939	707	45
940	707	44
941	708	43
942	708	42
943	709	42
944	709	41
945	710	40
946	710	39
947	711	39
948	712	38
949	712	37
950	713	36
951	713	35
952	714	35
953	714	34
954	715	33
955	715	32
956	716	32
957	717	31
958	717	30
959	718	29
960	718	29
961	719	28
962	719	27
963	720	26
964	720	26
965	721	25
966	722	24
967	722	23
968	723	23
969	723	22
970	724	21
971	724	20
972	725	20
973	725	19
974	726	18
975	727	17
976	727	17
977	728	16
978	728	15
979	729	14
980	729	14
981	730	13
982	730	12
983	731	11
984	732	11
985	732	10
986	733	9
987	733	8
988	734	8
989	734	7
990	735	6
991	736	5
992	736	5
993	737	4
994	737	3
995	738	2
996	739	2
997	739	1
998	740	0
999	740	0
